old_path,new_path,commit SHA,parent commit SHA,commit message,diff_hist,diff_myers,Discrepancy,Category
README.md,README.md,9795c1e676a7e5e4e0961b58f734d0b673c9b904,d2c507c741566f28396fc5e01a14b28ae23faa13,Quick LOLogo.,"@@ -1,5 +1,4 @@
-Timber
-======
+![Timber](logo.png)
 
 This is a logger with a small API, tag inference, and is injection friendly. Since the tags vary,
 it works really well when coupled with a log reader like [Pidcat][1].","@@ -1,5 +1,4 @@
-Timber
-======
+![Timber](logo.png)
 
 This is a logger with a small API, tag inference, and is injection friendly. Since the tags vary,
 it works really well when coupled with a log reader like [Pidcat][1].",False,readme
pom.xml,pom.xml,cb52b4bd6a358ce8078be9637e5b94000aa10e98,9795c1e676a7e5e4e0961b58f734d0b673c9b904,[maven-release-plugin] prepare release timber-parent-1.0.0,"@@ -11,7 +11,7 @@
 
   <groupId>com.jakewharton.timber</groupId>
   <artifactId>timber-parent</artifactId>
-  <version>1.0.0-SNAPSHOT</version>
+  <version>1.0.0</version>
   <packaging>pom</packaging>
 
   <name>Timber (Parent)</name>
@@ -38,7 +38,7 @@
     <url>http://github.com/JakeWharton/timber/</url>
     <connection>scm:git:git://github.com/JakeWharton/timber.git</connection>
     <developerConnection>scm:git:ssh://git@github.com/JakeWharton/timber.git</developerConnection>
-    <tag>HEAD</tag>
+    <tag>timber-parent-1.0.0</tag>
   </scm>
 
   <issueManagement>","@@ -11,7 +11,7 @@
 
   <groupId>com.jakewharton.timber</groupId>
   <artifactId>timber-parent</artifactId>
-  <version>1.0.0-SNAPSHOT</version>
+  <version>1.0.0</version>
   <packaging>pom</packaging>
 
   <name>Timber (Parent)</name>
@@ -38,7 +38,7 @@
     <url>http://github.com/JakeWharton/timber/</url>
     <connection>scm:git:git://github.com/JakeWharton/timber.git</connection>
     <developerConnection>scm:git:ssh://git@github.com/JakeWharton/timber.git</developerConnection>
-    <tag>HEAD</tag>
+    <tag>timber-parent-1.0.0</tag>
   </scm>
 
   <issueManagement>",False,other
timber-sample/pom.xml,timber-sample/pom.xml,cb52b4bd6a358ce8078be9637e5b94000aa10e98,9795c1e676a7e5e4e0961b58f734d0b673c9b904,[maven-release-plugin] prepare release timber-parent-1.0.0,"@@ -6,7 +6,7 @@
   <parent>
     <groupId>com.jakewharton.timber</groupId>
     <artifactId>timber-parent</artifactId>
-    <version>1.0.0-SNAPSHOT</version>
+    <version>1.0.0</version>
   </parent>
 
   <artifactId>timber-sample</artifactId>","@@ -6,7 +6,7 @@
   <parent>
     <groupId>com.jakewharton.timber</groupId>
     <artifactId>timber-parent</artifactId>
-    <version>1.0.0-SNAPSHOT</version>
+    <version>1.0.0</version>
   </parent>
 
   <artifactId>timber-sample</artifactId>",False,other
timber/pom.xml,timber/pom.xml,cb52b4bd6a358ce8078be9637e5b94000aa10e98,9795c1e676a7e5e4e0961b58f734d0b673c9b904,[maven-release-plugin] prepare release timber-parent-1.0.0,"@@ -6,7 +6,7 @@
   <parent>
     <groupId>com.jakewharton.timber</groupId>
     <artifactId>timber-parent</artifactId>
-    <version>1.0.0-SNAPSHOT</version>
+    <version>1.0.0</version>
   </parent>
 
   <artifactId>timber</artifactId>","@@ -6,7 +6,7 @@
   <parent>
     <groupId>com.jakewharton.timber</groupId>
     <artifactId>timber-parent</artifactId>
-    <version>1.0.0-SNAPSHOT</version>
+    <version>1.0.0</version>
   </parent>
 
   <artifactId>timber</artifactId>",False,other
pom.xml,pom.xml,a41b03af4c25dabc89aca3876ae5cf18f1079fc0,cb52b4bd6a358ce8078be9637e5b94000aa10e98,[maven-release-plugin] prepare for next development iteration,"@@ -11,7 +11,7 @@
 
   <groupId>com.jakewharton.timber</groupId>
   <artifactId>timber-parent</artifactId>
-  <version>1.0.0</version>
+  <version>1.0.1-SNAPSHOT</version>
   <packaging>pom</packaging>
 
   <name>Timber (Parent)</name>
@@ -38,7 +38,7 @@
     <url>http://github.com/JakeWharton/timber/</url>
     <connection>scm:git:git://github.com/JakeWharton/timber.git</connection>
     <developerConnection>scm:git:ssh://git@github.com/JakeWharton/timber.git</developerConnection>
-    <tag>timber-parent-1.0.0</tag>
+    <tag>HEAD</tag>
   </scm>
 
   <issueManagement>","@@ -11,7 +11,7 @@
 
   <groupId>com.jakewharton.timber</groupId>
   <artifactId>timber-parent</artifactId>
-  <version>1.0.0</version>
+  <version>1.0.1-SNAPSHOT</version>
   <packaging>pom</packaging>
 
   <name>Timber (Parent)</name>
@@ -38,7 +38,7 @@
     <url>http://github.com/JakeWharton/timber/</url>
     <connection>scm:git:git://github.com/JakeWharton/timber.git</connection>
     <developerConnection>scm:git:ssh://git@github.com/JakeWharton/timber.git</developerConnection>
-    <tag>timber-parent-1.0.0</tag>
+    <tag>HEAD</tag>
   </scm>
 
   <issueManagement>",False,other
timber-sample/pom.xml,timber-sample/pom.xml,a41b03af4c25dabc89aca3876ae5cf18f1079fc0,cb52b4bd6a358ce8078be9637e5b94000aa10e98,[maven-release-plugin] prepare for next development iteration,"@@ -6,7 +6,7 @@
   <parent>
     <groupId>com.jakewharton.timber</groupId>
     <artifactId>timber-parent</artifactId>
-    <version>1.0.0</version>
+    <version>1.0.1-SNAPSHOT</version>
   </parent>
 
   <artifactId>timber-sample</artifactId>","@@ -6,7 +6,7 @@
   <parent>
     <groupId>com.jakewharton.timber</groupId>
     <artifactId>timber-parent</artifactId>
-    <version>1.0.0</version>
+    <version>1.0.1-SNAPSHOT</version>
   </parent>
 
   <artifactId>timber-sample</artifactId>",False,other
timber/pom.xml,timber/pom.xml,a41b03af4c25dabc89aca3876ae5cf18f1079fc0,cb52b4bd6a358ce8078be9637e5b94000aa10e98,[maven-release-plugin] prepare for next development iteration,"@@ -6,7 +6,7 @@
   <parent>
     <groupId>com.jakewharton.timber</groupId>
     <artifactId>timber-parent</artifactId>
-    <version>1.0.0</version>
+    <version>1.0.1-SNAPSHOT</version>
   </parent>
 
   <artifactId>timber</artifactId>","@@ -6,7 +6,7 @@
   <parent>
     <groupId>com.jakewharton.timber</groupId>
     <artifactId>timber-parent</artifactId>
-    <version>1.0.0</version>
+    <version>1.0.1-SNAPSHOT</version>
   </parent>
 
   <artifactId>timber</artifactId>",False,other
README.md,README.md,9489330914c30001eb4df39923a7ff4b601e232a,a41b03af4c25dabc89aca3876ae5cf18f1079fc0,Or Gradle...,"@@ -37,6 +37,10 @@ Download [the latest JAR][2] or grab via Maven:
   <version>(insert latest version)</version>
 </dependency>
 ```
+or Gradle:
+```groovy
+compile 'com.jakewharton.timber:timber:1.0.+'
+```
 
 
 License","@@ -37,6 +37,10 @@ Download [the latest JAR][2] or grab via Maven:
   <version>(insert latest version)</version>
 </dependency>
 ```
+or Gradle:
+```groovy
+compile 'com.jakewharton.timber:timber:1.0.+'
+```
 
 
 License",False,readme
README.md,README.md,4948ee209993104218d554568e1b2b6f8b17aede,9489330914c30001eb4df39923a7ff4b601e232a,Add some words.,"@@ -22,7 +22,9 @@ Two easy steps:
  1. Figure out if you want `Timber.DEBUG` or `Timber.PROD` and bind it.
  2. Inject an instance of `Timber` everywhere you want to log.
 
-See the sample app in `timber-sample/` to see it in action.
+Check out the sample app in `timber-sample/` to see it in action. It uses [Dagger][3] and
+[Butter Knife][4] to make it the worlds smallest application with both dependency injection and
+view ""injection"".
 
 
 Download
@@ -64,3 +66,5 @@ License
 
  [1]: http://github.com/JakeWharton/pidcat/
  [2]: http://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=com.jakewharton.timber&a=timber&v=LATEST
+ [3]: http://square.github.io/dagger/
+ [4]: http://jakewharton.github.io/butterknife/","@@ -22,7 +22,9 @@ Two easy steps:
  1. Figure out if you want `Timber.DEBUG` or `Timber.PROD` and bind it.
  2. Inject an instance of `Timber` everywhere you want to log.
 
-See the sample app in `timber-sample/` to see it in action.
+Check out the sample app in `timber-sample/` to see it in action. It uses [Dagger][3] and
+[Butter Knife][4] to make it the worlds smallest application with both dependency injection and
+view ""injection"".
 
 
 Download
@@ -64,3 +66,5 @@ License
 
  [1]: http://github.com/JakeWharton/pidcat/
  [2]: http://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=com.jakewharton.timber&a=timber&v=LATEST
+ [3]: http://square.github.io/dagger/
+ [4]: http://jakewharton.github.io/butterknife/",False,readme
timber-sample/src/main/java/com/example/timber/ui/DemoActivity.java,timber-sample/src/main/java/com/example/timber/ui/DemoActivity.java,2039d230ddf3e5afecabd46bf1e4650f95fa277d,4948ee209993104218d554568e1b2b6f8b17aede,Rename layout to match class name.,"@@ -16,7 +16,7 @@ public class DemoActivity extends ExampleActivity {
 
   @Override protected void onCreate(Bundle savedInstanceState) {
     super.onCreate(savedInstanceState);
-    setContentView(R.layout.simple_activity);
+    setContentView(R.layout.demo_activity);
   }
 
   @OnClick({ R.id.hello, R.id.hey, R.id.hi })","@@ -16,7 +16,7 @@ public class DemoActivity extends ExampleActivity {
 
   @Override protected void onCreate(Bundle savedInstanceState) {
     super.onCreate(savedInstanceState);
-    setContentView(R.layout.simple_activity);
+    setContentView(R.layout.demo_activity);
   }
 
   @OnClick({ R.id.hello, R.id.hey, R.id.hi })",False,source
