Project_name,Tool_name,CWE_ID,Number_of_Findings,Is_In_CWE_Top_25?
btop,flawfinder,CWE-119!/CWE-120,67.0,NO
btop,flawfinder,CWE-120,23.0,NO
btop,flawfinder,CWE-126,8.0,NO
btop,flawfinder,CWE-134,17.0,NO
btop,flawfinder,CWE-190,3.0,YES
btop,flawfinder,CWE-20,20.0,YES
btop,flawfinder,CWE-362,31.0,NO
btop,flawfinder,CWE-362/CWE-367!,12.0,NO
btop,flawfinder,CWE-78,5.0,YES
btop,flawfinder,CWE-807,13.0,NO
ggml,flawfinder,CWE-119!/CWE-120,147.0,NO
ggml,flawfinder,CWE-120,626.0,NO
ggml,flawfinder,CWE-126,14.0,NO
ggml,flawfinder,CWE-134,11.0,NO
ggml,flawfinder,CWE-190,40.0,YES
ggml,flawfinder,CWE-20,232.0,YES
ggml,flawfinder,CWE-327,2.0,NO
ggml,flawfinder,CWE-362,18.0,NO
ggml,flawfinder,CWE-362/CWE-367!,40.0,NO
ggml,flawfinder,CWE-78,3.0,YES
ggml,flawfinder,CWE-807,43.0,NO
OpenCC,flawfinder,CWE-119!/CWE-120,96.0,NO
OpenCC,flawfinder,CWE-120,99.0,NO
OpenCC,flawfinder,CWE-126,45.0,NO
OpenCC,flawfinder,CWE-134,16.0,NO
OpenCC,flawfinder,CWE-190,1.0,YES
OpenCC,flawfinder,CWE-20,65.0,YES
OpenCC,flawfinder,CWE-327,30.0,NO
OpenCC,flawfinder,CWE-362,54.0,NO
OpenCC,flawfinder,CWE-377,5.0,NO
OpenCC,flawfinder,CWE-676,1.0,NO
OpenCC,flawfinder,CWE-78,4.0,YES
OpenCC,flawfinder,CWE-807,13.0,NO
OpenCC,flawfinder,nan,2.0,NO
btop,cppcheck,CWE-398,47.0,NO
btop,cppcheck,CWE-401,1.0,NO
btop,cppcheck,CWE-561,46.0,NO
btop,cppcheck,CWE-563,5.0,NO
btop,cppcheck,CWE-570,3.0,NO
btop,cppcheck,CWE-628,2.0,NO
btop,cppcheck,CWE-665,1.0,NO
btop,cppcheck,CWE-758,6.0,NO
ggml,cppcheck,CWE-197,1.0,NO
ggml,cppcheck,CWE-398,2488.0,NO
ggml,cppcheck,CWE-401,5.0,NO
ggml,cppcheck,CWE-457,36.0,NO
ggml,cppcheck,CWE-476,36.0,YES
ggml,cppcheck,CWE-561,471.0,NO
ggml,cppcheck,CWE-562,13.0,NO
ggml,cppcheck,CWE-563,145.0,NO
ggml,cppcheck,CWE-570,29.0,NO
ggml,cppcheck,CWE-571,34.0,NO
ggml,cppcheck,CWE-628,93.0,NO
ggml,cppcheck,CWE-665,1.0,NO
ggml,cppcheck,CWE-686,1.0,NO
ggml,cppcheck,CWE-704,150.0,NO
ggml,cppcheck,CWE-758,20.0,NO
ggml,cppcheck,CWE-771,1.0,NO
ggml,cppcheck,CWE-783,6.0,NO
OpenCC,cppcheck,CWE-398,232.0,NO
OpenCC,cppcheck,CWE-401,3.0,NO
OpenCC,cppcheck,CWE-476,15.0,YES
OpenCC,cppcheck,CWE-561,65.0,NO
OpenCC,cppcheck,CWE-563,12.0,NO
OpenCC,cppcheck,CWE-570,7.0,NO
OpenCC,cppcheck,CWE-571,4.0,NO
OpenCC,cppcheck,CWE-628,36.0,NO
OpenCC,cppcheck,CWE-704,2.0,NO
OpenCC,cppcheck,CWE-758,4.0,NO
btop,codeql,CWE-367,1.0,NO
ggml,codeql,CWE-020,13.0,NO
ggml,codeql,CWE-022,15.0,NO
ggml,codeql,CWE-023,15.0,NO
ggml,codeql,CWE-036,15.0,NO
ggml,codeql,CWE-073,15.0,NO
ggml,codeql,CWE-114,1.0,NO
ggml,codeql,CWE-129,2.0,NO
ggml,codeql,CWE-190,38.0,YES
ggml,codeql,CWE-191,25.0,NO
ggml,codeql,CWE-197,13.0,NO
ggml,codeql,CWE-681,13.0,NO
ggml,codeql,CWE-468,14.0,NO
ggml,codeql,CWE-570,3.0,NO
ggml,codeql,CWE-252,3.0,NO
ggml,codeql,CWE-755,3.0,NO
ggml,codeql,CWE-676,2.0,NO
OpenCC,codeql,CWE-020,11.0,NO
OpenCC,codeql,CWE-022,4.0,NO
OpenCC,codeql,CWE-023,4.0,NO
OpenCC,codeql,CWE-036,4.0,NO
OpenCC,codeql,CWE-073,4.0,NO
OpenCC,codeql,CWE-190,4.0,YES
OpenCC,codeql,CWE-197,3.0,NO
OpenCC,codeql,CWE-835,1.0,NO
OpenCC,codeql,CWE-681,2.0,NO
OpenCC,codeql,CWE-789,1.0,NO
OpenCC,codeql,CWE-367,1.0,NO
OpenCC,codeql,CWE-732,3.0,NO
